Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
251,PA Celhay et al. (2019),2019,51,Economic Journal,Long-run effects of temporary incentives on medical care productivity,,"PA Celhay, PJ Gertler, P Giovagnoli (2019). Long-run effects of temporary incentives on medical care productivity. … Economic Journal …."
252,A Mokhniuk et al. (2018),2018,22,Economic Journal,The impact of monetary and non-monetary factors of motivation on employee productivity,,"A Mokhniuk, L Yushchyshyna (2018). The impact of monetary and non-monetary factors of motivation on employee productivity. Economic journal of Lesya …."
253,SN Ali et al. (2013),2013,116,Economic Journal,Why people vote: Ethical motives and social incentives,,"SN Ali, C Lin (2013). Why people vote: Ethical motives and social incentives. American economic Journal: microeconomics."
254,N Bengtsson et al. (2014),2014,31,Economic Journal,Replacing trust with control: a field test of motivation crowd out theory,,"N Bengtsson, P Engström (2014). Replacing trust with control: a field test of motivation crowd out theory. The Economic Journal."
255,TA Homonoff (2018),2018,228,Economic Journal,Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use,,TA Homonoff (2018). Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use. American Economic Journal: Economic Policy.
256,L Barrow et al. (2020),2020,3,Economic Journal,Who Has the Time? Community College Students' Time-Use Response to Financial Incentives,,"L Barrow, CE Rouse, A McFarland (2020). Who Has the Time? Community College Students' Time-Use Response to Financial Incentives. Atlantic Economic Journal."
257,P Celhay et al. (2015),2015,5,Economic Journal,Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics,,"P Celhay, P Gertler, P Giovagnoli (2015). Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics. … Economic Journal …."
258,K Ito et al. (2018),2018,0,Economic Journal,"Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)",,"K Ito, T Ida, M Tanaka (2018). Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1). American Economic Journal: Economic …."
259,W Chen (2019),2019,4,Economic Journal,Income and effort: An Instrumental variables approach,,W Chen (2019). Income and effort: An Instrumental variables approach. Atlantic Economic Journal.
260,OA Ihensekien et al. (2023),2023,38,Economic Journal,Abraham Maslow's Hierarchy of Needs and Frederick Herzberg's Two-Factor Motivation Theories: Implications for Organizational Performance,,"OA Ihensekien, AC Joel (2023). Abraham Maslow's Hierarchy of Needs and Frederick Herzberg's Two-Factor Motivation Theories: Implications for Organizational Performance. The Romanian Economic Journal."
261,P Ordine et al. (2024),2024,0,Economic Journal,The Effect of Priming Student Identity on IQ-Test Score: Evidence from a Randomized Control Trial,,"P Ordine, G Rose, A Mosca (2024). The Effect of Priming Student Identity on IQ-Test Score: Evidence from a Randomized Control Trial. Italian Economic Journal."
262,BS Frey (1997),1997,998,Economic Journal,A constitution for knaves crowds out civic virtues,,BS Frey (1997). A constitution for knaves crowds out civic virtues. The economic journal.
263,K Ito (2015),2015,151,Economic Journal,Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program,,K Ito (2015). Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program. American Economic Journal: Economic Policy.
264,J Rosłon (2020),2020,2,Economic Journal,Motivators and Demotivators for Employees,,J Rosłon (2020). Motivators and Demotivators for Employees. Olsztyn Economic Journal.
265,AS Kritikos et al. (2009),2009,4,Economic Journal,Indenture as a Self‐Enforced Contract Device: An Experimental Test,,"AS Kritikos, JHW Tan (2009). Indenture as a Self‐Enforced Contract Device: An Experimental Test. Southern Economic Journal."
266,M Bielicki et al. (2022),2022,1,Economic Journal,How to create an engagement-friendly environment in reward-based crowdfunding?,,"M Bielicki, R Rydzewski (2022). How to create an engagement-friendly environment in reward-based crowdfunding?. Central European Economic Journal."
267,F Barrera-Osorio et al. (2019),2019,104,Economic Journal,Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia,,"F Barrera-Osorio, LL Linden (2019). Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia. … Economic Journal: Applied …."
268,A Kukla-Gryz et al. (2017),2017,5,Economic Journal,The effects of individual internal versus external reference prices on consumer decisions for pay-what-you-want payments,,"A Kukla-Gryz, K Zagórska (2017). The effects of individual internal versus external reference prices on consumer decisions for pay-what-you-want payments. Central European Economic Journal."
269,Ö Evren et al. (2017),2017,47,Economic Journal,Warm‐glow Giving and Freedom to be Selfish,,"Ö Evren, S Minardi (2017). Warm‐glow Giving and Freedom to be Selfish. The Economic Journal."
270,JB Falisse et al. (2024),2024,1,Economic Journal,Incentivizing Textbooks for Self-Study: Experimental Evidence from the Democratic Republic of the Congo,,"JB Falisse, M Huysentruyt, A Olofsgård (2024). Incentivizing Textbooks for Self-Study: Experimental Evidence from the Democratic Republic of the Congo. The Economic Journal."
271,MB Nyqvist et al. (2019),2019,68,Economic Journal,Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda,,"MB Nyqvist, A Guariso, J Svensson (2019). Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda. … Economic Journal …."
272,CJ Wichman et al. (2023),2023,3,Economic Journal,Preheating prosocial behaviour,,"CJ Wichman, NW Chan (2023). Preheating prosocial behaviour. The Economic Journal."
273,DG Arce (2017),2017,6,Economic Journal,Screening for managerial objectives,,DG Arce (2017). Screening for managerial objectives. Southern Economic Journal.
274,T Markussen et al. (2014),2014,61,Economic Journal,"Competition, cooperation and collective choice",,"T Markussen, E Reuben, JR Tyran (2014). Competition, cooperation and collective choice. The Economic Journal."
275,M Björkman Nyqvist et al. (2018),2018,65,Economic Journal,Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention,,"M Björkman Nyqvist, L Corno, D De Walque (2018). Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention. … Economic Journal …."
276,RC Butnaru et al. (2020),2020,3,Economic Journal,Heavy work investment from the perspective of cultural factors and outcomes by types of investors,,"RC Butnaru, A Anichiti, GIBAP Haller (2020). Heavy work investment from the perspective of cultural factors and outcomes by types of investors. … ECONOMIC journal."
277,T Besley et al. (2024),2024,2,Economic Journal,Trust and State Effectiveness: The Political Economy of Compliance,,"T Besley, S Dray (2024). Trust and State Effectiveness: The Political Economy of Compliance. The Economic Journal."
278,S ALIANE et al. (2021),2021,2,Economic Journal,Entrepreneurs' Personnel Characteristics and Their Impact on the Growth of SMEs.,,"S ALIANE, Z BERROUCHE (2021). Entrepreneurs' Personnel Characteristics and Their Impact on the Growth of SMEs.. Al Bashaer Economic Journal."
279,E Winter (2009),2009,45,Economic Journal,Incentive reversal,,E Winter (2009). Incentive reversal. American Economic Journal: Microeconomics.
280,J McCormack et al. (2014),2014,234,Economic Journal,Herding cats? Management and university performance,,"J McCormack, C Propper, S Smith (2014). Herding cats? Management and university performance. The Economic Journal."
281,R Robin et al. (2023),2023,3,Journal of Finance,"The impact of awards on intrinsic motivation and job satisfaction of multi-level marketing members in riau islands province, Indonesia",,"R Robin, F Hidayat, C Wibisono (2023). The impact of awards on intrinsic motivation and job satisfaction of multi-level marketing members in riau islands province, Indonesia. … of Finance …."
282,GP Baker et al. (1988),1988,3406,Journal of Finance,Compensation and incentives: Practice vs. theory,,"GP Baker, MC Jensen, KJ Murphy (1988). Compensation and incentives: Practice vs. theory. The journal of Finance."
283,KA Obasan (2012),2012,107,Journal of Finance,Effect of compensation strategy on corporate performance: Evidence from Nigerian firms,,KA Obasan (2012). Effect of compensation strategy on corporate performance: Evidence from Nigerian firms. Research Journal of Finance and Accounting.
284,SU Khan et al. (2022),2022,0,Journal of Finance,Evaluating stock trading behaviour: Information sources nexus through intrinsic and extrinsic motivation,,"SU Khan, M Wang, IU Khan (2022). Evaluating stock trading behaviour: Information sources nexus through intrinsic and extrinsic motivation. … Journal of Finance & …."
285,Y Shahab et al. (2021),2021,18,Journal of Finance,Online feedback and crowdfunding finance in China,,"Y Shahab, Y Riaz, CG Ntim, Z Ye (2021). Online feedback and crowdfunding finance in China. … Journal of Finance & …."
286,AA Umobong et al. (2019),2019,5,Journal of Finance,Performance based compensation and firm value of commercial banks in Nigeria,,"AA Umobong, A Bele-Egberi (2019). Performance based compensation and firm value of commercial banks in Nigeria. Research Journal of Finance and …."
287,AF Cicchiello et al. (2019),2019,36,Journal of Finance,Crowdfunding tax incentives in Europe: a comparative analysis,,"AF Cicchiello, F Battaglia, S Monferrà (2019). Crowdfunding tax incentives in Europe: a comparative analysis. … Journal of Finance."
288,L Gómez-Ruiz et al. (2018),2018,15,Journal of Finance,The motivational role of consultative participation in a multi-period target setting: An experimental study,,"L Gómez-Ruiz, E Rodríguez-Rivero (2018). The motivational role of consultative participation in a multi-period target setting: An experimental study. Spanish Journal of Finance …."
289,TM Dibabe et al. (2015),2015,80,Journal of Finance,Factors that affect students' career choice in accounting: A case of Bahir Dar University students,,"TM Dibabe, AW Wubie, GA Wondmagegn (2015). Factors that affect students' career choice in accounting: A case of Bahir Dar University students. Research Journal of Finance …."
290,Z Fatima et al. (2017),2017,0,Journal of Finance,Antecedents of Salesforce Motivation: A Review of Studies,,"Z Fatima, MK Aza (2017). Antecedents of Salesforce Motivation: A Review of Studies. Al-Barkaat Journal of Finance & …."
291,AB Shafiwu et al. (2013),2013,24,Journal of Finance,Analysis of teachers' motivation on the overall performance of public basic school in the Wa Municipality,,"AB Shafiwu, A Salakpi (2013). Analysis of teachers' motivation on the overall performance of public basic school in the Wa Municipality. Research Journal of Finance and accounting."
292,S Sumantri et al. (2022),2022,10,Journal of Finance,"Effect of Motivation, Leadership and Organizational Culture on Employee Performance during the COVID-19 Pandemic",,"S Sumantri, C Wibisono (2022). Effect of Motivation, Leadership and Organizational Culture on Employee Performance during the COVID-19 Pandemic. … Journal of Finance …."
293,GN Onoh (2021),2021,0,Journal of Finance,Publication Process Date,,GN Onoh (2021). Publication Process Date. Global Journal of Finance and Business Review ….
294,R Opeke et al. (2019),2019,1,Journal of Finance,Motivation as a management tool for health workers' productivity in Nigeria,,"R Opeke, RA Adio, MS Omole (2019). Motivation as a management tool for health workers' productivity in Nigeria. … Journal of Finance and …."
295,YO Oyedeko et al. (2021),2021,2,Journal of Finance,Board Inclusion in Financial Reporting and Dividend Policy: Evidence from Static and Dynamic Panel VAR Models,,"YO Oyedeko, M Zubairu (2021). Board Inclusion in Financial Reporting and Dividend Policy: Evidence from Static and Dynamic Panel VAR Models. Journal of Finance & …."
296,AF Gaspar et al. (2014),2014,12,Journal of Finance,The use of performance information by local government stakeholders in Tanzania,,"AF Gaspar, TA Mkasiwa (2014). The use of performance information by local government stakeholders in Tanzania. Journal of Finance and Accounting."
297,A Kusumawardani (2018),2018,0,Journal of Finance,Effect of Human Resources Practice and Organizational Commitment on Accountability of Rural Entity,,A Kusumawardani (2018). Effect of Human Resources Practice and Organizational Commitment on Accountability of Rural Entity. … Research Journal of Finance and ….
298,A Jari et al. (2020),2020,0,Journal of Finance,"Determination the Impact Professional Skepticism and Interpersonal Trust, with Considering the of Organizational Behavior Characteristics on Auditors Job Durability",,"A Jari, D Foroghi, H Amiri (2020). Determination the Impact Professional Skepticism and Interpersonal Trust, with Considering the of Organizational Behavior Characteristics on Auditors Job Durability. … Journal of Finance & Managerial Accounting."
299,A Hairudin et al. (2022),2022,66,Journal of Finance,"Cryptocurrencies: A survey on acceptance, governance and market dynamics",,"A Hairudin, IM Sifat, A Mohamad (2022). Cryptocurrencies: A survey on acceptance, governance and market dynamics. … Journal of Finance & …."
300,UF Ikechukwu (2021),2021,2,Journal of Finance,The effect of workplace safety on the performance of Enugu state electricity distribution company,,UF Ikechukwu (2021). The effect of workplace safety on the performance of Enugu state electricity distribution company. … Journal of Finance and Management Sciences.
301,MA Bhat et al. (2020),2020,5,Journal of Finance,Factors affecting adoption of internet banking: A study of Jammu and Kashmir with special reference to J & K Bank,,"MA Bhat, S Tariq (2020). Factors affecting adoption of internet banking: A study of Jammu and Kashmir with special reference to J & K Bank. MUDRA: Journal of Finance and Accounting."
302,T Phansawadhi (2013),2013,4,Journal of Finance,Equity valuation approach based on accounting variables,,T Phansawadhi (2013). Equity valuation approach based on accounting variables. Journal of Finance and Economics.
303,US Mishra et al. (2012),2012,31,Journal of Finance,Perceived benefit analysis of sales promotion: a case of consumer durables,,"US Mishra, JR Das, BB Mishra (2012). Perceived benefit analysis of sales promotion: a case of consumer durables. … Journal of Finance and …."
304,D Aggarwal (2014),2014,4,Journal of Finance,Human resources-change agents for motivating and retaining Employees,,D Aggarwal (2014). Human resources-change agents for motivating and retaining Employees. Global Journal of Finance and Management.
305,D KARLAN (2020),2020,0,Quarterly Journal of Economics,RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES GHARAD BRYAN JAMES J. CHOI,,D KARLAN (2020). RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES GHARAD BRYAN JAMES J. CHOI. The Quarterly Journal of Economics.
306,KHJE Stiglitz (2016),2016,0,Quarterly Journal of Economics,Striving for Balance in Economics: Towards a Theory of,,KHJE Stiglitz (2016). Striving for Balance in Economics: Towards a Theory of. Quarterly Journal of Economics.
307,O DUBE et al. (2021),2021,0,Quarterly Journal of Economics,BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK DARIN CHRISTENSEN,,"O DUBE, J HAUSHOFER, B SIDDIQI (2021). BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK DARIN CHRISTENSEN. … Journal of Economics."
308,R Bénabou et al. (2003),2003,4180,Review of Economic Studies,Intrinsic and extrinsic motivation,,"R Bénabou, J Tirole (2003). Intrinsic and extrinsic motivation. The review of economic studies."
309,EL Von Thadden et al. (2012),2012,101,Review of Economic Studies,Incentives for unaware agents,,"EL Von Thadden, X Zhao (2012). Incentives for unaware agents. The Review of Economic Studies."
310,M Kremer et al. (2009),2009,760,The Review of Economics and Statistics,Incentives to learn,,"M Kremer, E Miguel, R Thornton (2009). Incentives to learn. … Review of Economics and statistics."
