Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
254,J Wang et al. (2022),2022,18,Energy Policy,"Scale framing, benefit framing and their interaction effects on energy-saving behaviors: Evidence from urban residents of China",,"J Wang, Y Li, Z He, J Gao, J Wang (2022). Scale framing, benefit framing and their interaction effects on energy-saving behaviors: Evidence from urban residents of China. Energy Policy."
255,A Sudarshan (2014),2014,17,Energy Policy,Nudges in the marketplace: Using peer comparisons and incentives to reduce household electricity consumption,,"A Sudarshan (2014). Nudges in the marketplace: Using peer comparisons and incentives to reduce household electricity consumption. Work. Pap., Energy Policy Inst. Chicago. http …."
256,JC Sweeney et al. (2013),2013,184,Energy Policy,Energy saving behaviours: Development of a practice-based model,,"JC Sweeney, J Kresling, D Webb, GN Soutar (2013). Energy saving behaviours: Development of a practice-based model. Energy Policy."
257,J Knauf (2022),2022,34,Energy Policy,Can't buy me acceptance? Financial benefits for wind energy projects in Germany,,J Knauf (2022). Can't buy me acceptance? Financial benefits for wind energy projects in Germany. Energy Policy.
258,S März et al. (2022),2022,23,Energy Policy,Are tenants willing to pay for energy efficiency? Evidence from a small-scale spatial analysis in Germany,,"S März, I Stelk, F Stelzer (2022). Are tenants willing to pay for energy efficiency? Evidence from a small-scale spatial analysis in Germany. Energy Policy."
259,HT Ek et al. (2024),2024,0,Energy Policy,Farmers' motivations to cultivate biomass for energy and implications,,"HT Ek, J Singh, J Winberg, MV Brady, Y Clough (2024). Farmers' motivations to cultivate biomass for energy and implications. Energy Policy."
260,GK Kundu et al. (2012),2012,16,Energy Policy,"Impact of reform and privatisation on employees a case study of power sector reform in Orissa, India",,"GK Kundu, BB Mishra (2012). Impact of reform and privatisation on employees a case study of power sector reform in Orissa, India. Energy Policy."
261,G Chersoni et al. (2022),2022,12,Energy Policy,Modelling thermal insulation investment choice in the EU via a behaviourally informed agent-based model,,"G Chersoni, N DellaValle, M Fontana (2022). Modelling thermal insulation investment choice in the EU via a behaviourally informed agent-based model. Energy Policy."
262,C Whittle et al. (2020),2020,42,Energy Policy,Empowering householders: Identifying predictors of intentions to use a home energy management system in the United Kingdom,,"C Whittle, CR Jones, A While (2020). Empowering householders: Identifying predictors of intentions to use a home energy management system in the United Kingdom. Energy Policy."
263,A Brown et al. (2023),2023,9,Energy Policy,Understanding domestic consumer attitude and behaviour towards energy: A study on the Island of Ireland,,"A Brown, H Hampton, A Foley, DF Del Rio, C Lowans (2023). Understanding domestic consumer attitude and behaviour towards energy: A study on the Island of Ireland. Energy Policy."
264,T Helms et al. (2016),2016,80,Energy Policy,Timing-based business models for flexibility creation in the electric power sector,,"T Helms, M Loock, R Bohnsack (2016). Timing-based business models for flexibility creation in the electric power sector. Energy Policy."
